Distrito,Cluster,OLT,F,S,P,Código QR,Cuenta,Puerto N2,Serie ONT,Conteo,Status Port,Codigos QR,Fecha,,Actualización Puerto,Latitud,Longitud,Nombre SP,Capacidad,Ubicacion,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,0,TP248061,,,,,,,,,,31.723283,-106.495185,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,0,TP248061,,,,,,,,,,31.723283,-106.495185,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,0,TP248061,,,,,,,,,,31.723283,-106.495185,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,0,TP248061,,,,,,,,,,31.723283,-106.495185,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,0,TP248095,,,,,,,,,,31.727646,-106.493368,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,0,TP248095,,,,,,,,,,31.727646,-106.493368,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,0,TP248095,,,,,,,,,,31.727646,-106.493368,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,0,TP248095,,,,,,,,,,31.727646,-106.493368,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,0,TP248101,,,,,,,,,,31.723771,-106.495919,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,0,TP248101,,,,,,,,,,31.723771,-106.495919,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,0,TP248101,,,,,,,,,,31.723771,-106.495919,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,0,TP248101,,,,,,,,,,31.723771,-106.495919,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,0,TP248101,,,,,,,,,,31.723771,-106.495919,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,0,TP248101,,,,,,,,,,31.723771,-106.495919,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,0,TP248101,,,,,,,,,,31.723771,-106.495919,,,,
